,Unnamed: 0,unique_trajectory_id,condition,VPCode,landmark_rotation,respx,respz,targetx,targetz,trajectory_id,target,jitterx,jitterz,startx,startz,belief_respx,belief_respz,endidx,task_finished,target_loc
452,452,452,combined,sub07,-0.0,-1.6923442417305556,-0.24396286976124204,-2.1104984444124772,0.4102393400595714,3-6-8,-2.11-0.41,0.0405296349150859,-0.0811697943712624,0.1047260070679122,-0.04674503776004868,-1.930654776210212,-0.7202677042680251,162,True,-2.151
460,460,460,combined,sub15,-0.0,-1.9933453154660885,-0.1005576036374709,-2.1104984444124772,0.4102393400595714,3-4-8,-2.11-0.41,0.0183396762368456,0.0275432863261125,0.0018600057304982,0.06889724692336041,-2.2021863689462564,-0.3810391969825784,177,True,-2.129
469,469,469,combined,sub01,-0.0,1.9542555034448847,0.9534586966497303,1.8031417210826617,1.1709739252823081,0-5-8,1.8-1.17,0.0364756277255926,-0.0795444117294068,-0.0660156397923419,-0.023609384456969695,2.1799364347373458,0.5082665969287279,157,True,1.767
472,472,472,combined,sub12,-0.0,1.7225425128202452,-0.49234929008548245,2.1104984444124772,0.4102393400595712,2-5-8,2.11-0.41,0.0366564771267786,-0.0516499445433625,-0.0388148346208466,-0.02386690682656556,1.940439411644785,-0.2205914827014731,147,True,2.074
474,474,474,combined,sub16,-0.0,2.450819531281795,-0.06080228782123542,2.1104984444124772,0.4102393400595713,2-7-8,2.11-0.41,-0.02320330401795,0.0445441469930947,-0.0205466728586858,-0.09892062713739413,2.366050315863756,-0.4466841044038015,162,True,2.134
481,481,481,combined,sub01,-0.0,-2.7940619671557654,0.4564172071972231,-2.1104984444124772,0.4102393400595713,3-5-8,-2.11-0.41,-0.1339575706344028,-0.1638421265396629,-0.0439530544786052,0.10570273981595735,-2.695952470285751,-0.3750733391853565,126,True,-1.977
485,485,485,combined,sub17,-0.0,1.810719426040504,0.9803619749280957,1.8031417210826615,1.1709739252823081,0-6-8,1.8-1.17,-0.0183905265928728,0.002094694601209,0.1230214189255308,0.010419871744475895,2.0004300304038334,0.5846356290338146,139,True,1.822
490,490,490,combined,sub11,-0.0,2.034395823656812,0.4337465538994959,2.1104984444124772,0.41023934005957136,2-5-8,2.11-0.41,-0.0084403553343349,0.0086469410277679,-0.051032453085393,0.10800305879296157,2.1729574993323326,-0.5333568126684214,146,True,2.119
497,497,497,combined,sub16,-0.0,2.331601613273832,0.5314772905254423,2.1104984444124772,0.4102393400595714,2-4-8,2.11-0.41,0.0143228817224453,0.1790552532547068,0.0188600933105622,0.07425606367642001,2.2815868994234507,-0.4955762442629446,143,True,2.096
504,504,504,combined,sub13,-0.0,-2.202421004798812,0.5797570012586338,-2.1104984444124772,0.4102393400595713,3-6-8,-2.11-0.41,-0.0107020939891327,-8.626952991481809e-05,0.0560874562178476,-0.05551171932937393,-2.226240227918886,0.0027230686783809,151,True,-2.1
507,507,507,combined,sub14,-0.0,-1.5742959150768772,1.1279527144814647,-1.8031417210826617,1.1709739252823081,1-6-8,-1.8-1.17,0.050063306470582,-0.0060137011077104,0.0684605259849652,0.034856797800554506,-1.467239944850698,0.4702967913992635,142,True,-1.853
508,508,508,combined,sub05,-0.0,2.0659004825863616,0.6844838311371636,2.1104984444124772,0.4102393400595714,2-6-8,2.11-0.41,-0.0978136277151687,0.1832244574923195,0.0299722044913977,0.0644850527659111,2.254242689327137,-0.3791718857906151,131,True,2.208
516,516,516,combined,sub04,-0.0,1.9656652970210533,0.6481458586812859,2.1104984444124772,0.4102393400595713,2-4-8,2.11-0.41,-0.0638741876868615,0.0066259017575857,0.0823354556373664,0.031367117418309554,1.9775305396774183,-0.042364985346516,131,True,2.174
522,522,522,combined,sub09,-0.0,1.6414750817844583,0.04363486709690256,2.1104984444124772,0.4102393400595714,2-5-8,2.11-0.41,-0.1366016112790363,0.1046866292315647,-0.0156922015382639,0.09103908781681114,1.862084339238493,-0.7047502421065532,151,True,2.247
537,537,537,combined,sub08,-0.0,-1.8642134620296809,1.6553752445030434,-1.8031417210826617,1.1709739252823081,1-4-8,-1.8-1.17,0.1289104751346428,-0.0887982191598847,0.0492105949862308,0.07336605036560573,-1.7190533891086872,0.735621000713907,177,True,-1.932
539,539,539,combined,sub11,-0.0,1.7096201054120088,0.4883739249789622,2.1104984444124777,0.4102393400595713,2-7-8,2.11-0.41,0.0036487394236822,-0.1367544864568294,-0.0395236283459843,-0.035861430964046925,1.8028204694946035,-0.3469608681129381,147,True,2.107
547,547,547,combined,sub13,-0.0,1.9325812402609976,0.16641003019209066,2.1104984444124772,0.4102393400595713,2-6-8,2.11-0.41,-0.1263454693748752,0.0848904005481104,0.0661776659660155,-0.00043484584542086147,2.260940428245405,-0.1476801632229712,122,True,2.237
548,548,548,combined,sub01,-0.0,2.1383180831176336,1.1763219002205423,2.110498444412477,0.4102393400595714,2-4-8,2.11-0.41,-0.0635107814636785,0.1812480460584997,0.0888012391164423,0.015837034364599933,2.328298412637195,0.1692598928499493,116,True,2.174
549,549,549,combined,sub01,-0.0,-1.544685032097312,1.128988168533665,-1.8031417210826621,1.1709739252823081,1-7-8,-1.8-1.17,-0.0514310692625136,0.0327157398456241,0.0098368363515782,0.06987226908662991,-1.584262660207365,0.6944935629993133,141,True,-1.752
551,551,551,combined,sub06,-0.0,1.7606607742888745,-0.7173196689901402,2.110498444412477,0.4102393400595713,2-5-8,2.11-0.41,-0.0070282946870159,0.0713294775346895,-0.0186798960872977,0.08536355736249923,2.093830277259946,-0.3878635134914896,151,True,2.118
